HH_ID,ResType,ResStatus,HHInc,HHNbr,MWrkHrs,MEdu,FWrkHrs,FEdu,FBirth,F_Rel,MBirth,M_Rel,Cable,Cats,Dogs,YogExp,DinExp,HHIn1,HHIn2,HHIn3,HHIn4,HHIn5,HHIn6,HHIn7,HHIn8,HHIn9,HHIn10,HHIn11,HHIn12,HHIn13,ResType1,ResType2,ResType3,ResType4,ResType5,ResStatus1,ResStatus2,MUndergrad,MGrad,FUndergrad,FGrad,Married,BuyYog,BuyDin,FAge,MAge
1101949,3,1,8,5,40,9,0,5,1946,1,1943,2,1,1,0,1.30,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,42,45
1101980,1,2,1,2,0,0,0,4,1925,1,1925,0,1,0,0,0.00,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,63,63
1101998,4,2,3,3,0,0,44,4,1954,1,1954,0,1,0,0,0.00,0.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,34,34
1102046,3,1,6,5,40,8,40,8,1956,1,1956,2,1,0,0,8.86,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,32,32
1102053,3,1,5,2,40,4,35,5,1935,1,1929,2,1,0,0,11.39,0.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,53,59
1102079,3,1,7,2,40,7,20,4,1926,1,1922,2,1,0,1,6.04,18.32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,62,66
1102129,3,1,3,2,40,3,30,3,1933,1,1928,2,1,0,0,139.56,331.20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,55,60
1102152,3,1,10,4,60,9,40,11,1954,1,1953,2,0,0,0,27.63,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,34,35
1102186,3,1,6,1,15,5,0,0,1922,0,1922,2,1,0,0,4.24,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,66,66
1102236,3,1,6,3,50,5,22,5,1944,1,1940,2,1,0,0,0.69,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,44,48
